time_ms,x,y,moving,phase,pose,captured_frame
1725,170,-170,0.875,0.490715,hero_walk3_ne,-1
1740,170,-170,0.765625,0.490715,hero_walk3_ne,28
1755,175,-175,1,0.563972,hero_walk4_ne,-1
1770,175,-175,0.875,0.563972,hero_walk4_ne,-1
1785,175,-175,0.765625,0.563972,hero_walk4_ne,-1
1800,180,-180,1,0.637228,hero_walk5_ne,29
1815,180,-180,0.875,0.637228,hero_walk5_ne,-1
1830,180,-180,0.765625,0.637228,hero_walk5_ne,-1
1845,180,-180,0.669922,0.637228,hero_walk5_ne,-1
1860,180,-180,0.586182,0.637228,hero_walk5_ne,30
1875,180,-180,0.512909,0.637228,hero_walk5_ne,-1
1890,180,-180,0.448795,0.637228,hero_walk5_ne,-1
1905,180,-180,0.392696,0.637228,hero_walk5_ne,-1
1920,180,-180,0.343609,0.637228,hero_walk5_ne,31
1935,180,-180,0.300658,0.637228,hero_walk5_ne,-1
1950,180,-180,0.263076,0.637228,hero_walk5_ne,-1
1965,180,-180,0.230191,0.637228,hero_walk5_ne,-1
1980,180,-180,0.201417,0.637228,hero_walk5_ne,32
1995,180,-180,0.17624,0.637228,hero_ne,-1
2010,180,-180,0.15421,0.637228,hero_ne,-1
2025,180,-180,0.134934,0.637228,hero_ne,-1
2040,180,-180,0.118067,0.637228,hero_ne,33
2055,180,-180,0.103309,0.637228,hero_ne,-1
2070,180,-180,0.0903951,0.637228,hero_ne,-1
2085,180,-180,0.0790957,0.637228,hero_ne,-1
2100,180,-180,0.0692088,0.637228,hero_ne,34
2115,180,-180,0.0605577,0.637228,hero_ne,-1
2130,180,-180,0.052988,0.637228,hero_ne,-1
2145,180,-180,0.0463645,0.637228,hero_ne,-1
2160,180,-180,0.0405689,0.637228,hero_ne,35
2175,180,-180,0.0354978,0.637228,hero_ne,-1
2190,180,-180,0.0310606,0.637228,hero_ne,-1
2205,180,-180,0.027178,0.637228,hero_ne,-1
2220,180,-180,0.0237807,0.637228,hero_ne,36
2235,180,-180,0.0208082,0.637228,hero_ne,-1
2250,180,-180,0.0182071,0.637228,hero_ne,-1
2265,180,-180,0.0159312,0.637228,hero_ne,-1
2280,180,-180,0.0139398,0.637228,hero_ne,37
2295,180,-180,0.0121974,0.637228,hero_ne,-1
2310,180,-180,0.0106727,0.637228,hero_ne,-1
2325,180,-180,0.0093386,0.637228,hero_ne,-1
2340,180,-180,0.00817128,0.637228,hero_ne,38
2355,180,-180,0.00714987,0.637228,hero_ne,-1
2370,180,-180,0.00625613,0.637228,hero_ne,-1
2385,180,-180,0.00547412,0.637228,hero_ne,-1
2400,180,-180,0.00478985,0.637228,hero_ne,39
