time_ms,core_tick,x,y,player_life,moving,phase,pose,pursuit_events,segments_clear,capture
1740,35,2804,3196,100,0.765625,0.988859,raider_walk5_ne,34,1,
1755,36,2810,3190,100,1,0.0767661,raider_walk0_ne,35,1,
1770,36,2810,3190,100,0.875,0.0767661,raider_walk0_ne,35,1,
1785,36,2810,3190,100,0.765625,0.0767661,raider_walk0_ne,35,1,
1800,37,2816,3184,100,1,0.164674,raider_walk0_ne,36,1,
1815,37,2816,3184,100,0.875,0.164674,raider_walk0_ne,36,1,
1830,37,2816,3184,100,0.765625,0.164674,raider_walk0_ne,36,1,
1845,37,2816,3184,100,0.669922,0.164674,raider_walk0_ne,36,1,
1860,38,2822,3178,100,1,0.252581,raider_walk1_ne,37,1,
1875,38,2822,3178,100,0.875,0.252581,raider_walk1_ne,37,1,
1890,38,2822,3178,100,0.765625,0.252581,raider_walk1_ne,37,1,
1905,39,2828,3172,100,1,0.340489,raider_walk2_ne,38,1,
1920,39,2828,3172,100,0.875,0.340489,raider_walk2_ne,38,1,
1935,39,2828,3172,100,0.765625,0.340489,raider_walk2_ne,38,1,
1950,40,2834,3166,100,1,0.428397,raider_walk2_ne,39,1,
1965,40,2834,3166,100,0.875,0.428397,raider_walk2_ne,39,1,
1980,40,2834,3166,100,0.765625,0.428397,raider_walk2_ne,39,1,
1995,40,2834,3166,100,0.669922,0.428397,raider_walk2_ne,39,1,
2010,41,2840,3160,100,1,0.516304,raider_walk3_ne,40,1,
2025,41,2840,3160,100,0.875,0.516304,raider_walk3_ne,40,1,
2040,41,2840,3160,100,0.765625,0.516304,raider_walk3_ne,40,1,
2055,42,2846,3154,100,1,0.604212,raider_walk3_ne,41,1,
2070,42,2846,3154,100,0.875,0.604212,raider_walk3_ne,41,1,
2085,42,2846,3154,100,0.765625,0.604212,raider_walk3_ne,41,1,
2100,43,2852,3148,100,1,0.692119,raider_walk4_ne,42,1,
2115,43,2852,3148,100,0.875,0.692119,raider_walk4_ne,42,1,
2130,43,2852,3148,100,0.765625,0.692119,raider_walk4_ne,42,1,
2145,43,2852,3148,100,0.669922,0.692119,raider_walk4_ne,42,1,
2160,44,2858,3142,100,1,0.780027,raider_walk4_ne,43,1,
2175,44,2858,3142,100,0.875,0.780027,raider_walk4_ne,43,1,
2190,44,2858,3142,100,0.765625,0.780027,raider_walk4_ne,43,1,
2205,45,2864,3136,100,1,0.867935,raider_walk5_ne,44,1,
2220,45,2864,3136,100,0.875,0.867935,raider_walk5_ne,44,1,
2235,45,2864,3136,100,0.765625,0.867935,raider_walk5_ne,44,1,
2250,46,2870,3130,100,1,0.955842,raider_walk5_ne,45,1,
2265,46,2870,3130,100,0.875,0.955842,raider_walk5_ne,45,1,
2280,46,2870,3130,100,0.765625,0.955842,raider_walk5_ne,45,1,
2295,46,2870,3130,100,0.669922,0.955842,raider_walk5_ne,45,1,
2310,47,2876,3124,100,1,0.0437497,raider_walk0_ne,46,1,
2325,47,2876,3124,100,0.875,0.0437497,raider_walk0_ne,46,1,
2340,47,2876,3124,100,0.765625,0.0437497,raider_walk0_ne,46,1,
2355,48,2882,3118,100,1,0.131657,raider_walk0_ne,47,1,
2370,48,2882,3118,100,0.875,0.131657,raider_walk0_ne,47,1,
2385,48,2882,3118,100,0.765625,0.131657,raider_walk0_ne,47,1,
2400,49,2888,3112,100,1,0.219565,raider_walk1_ne,48,1,
2415,49,2888,3112,100,0.875,0.219565,raider_walk1_ne,48,1,
2430,49,2888,3112,100,0.765625,0.219565,raider_walk1_ne,48,1,
2445,49,2888,3112,100,0.669922,0.219565,raider_walk1_ne,48,1,
2460,50,2894,3106,100,1,0.307473,raider_walk1_ne,49,1,
2475,50,2894,3106,100,0.875,0.307473,raider_walk1_ne,49,1,
2490,50,2894,3106,100,0.765625,0.307473,raider_walk1_ne,49,1,
2505,51,2900,3100,100,1,0.39538,raider_walk2_ne,50,1,
2520,51,2900,3100,100,0.875,0.39538,raider_walk2_ne,50,1,
2535,51,2900,3100,100,0.765625,0.39538,raider_walk2_ne,50,1,
2550,52,2906,3094,100,1,0.483288,raider_walk2_ne,51,1,
2565,52,2906,3094,100,0.875,0.483288,raider_walk2_ne,51,1,
2580,52,2906,3094,100,0.765625,0.483288,raider_walk2_ne,51,1,
2595,52,2906,3094,100,0.669922,0.483288,raider_walk2_ne,51,1,
2610,53,2912,3088,100,1,0.571195,raider_walk3_ne,52,1,
2625,53,2912,3088,100,0.875,0.571195,raider_walk3_ne,52,1,
2640,53,2912,3088,100,0.765625,0.571195,raider_walk3_ne,52,1,
2655,54,2918,3082,100,1,0.659103,raider_walk3_ne,53,1,
2670,54,2918,3082,100,0.875,0.659103,raider_walk3_ne,53,1,
2685,54,2918,3082,100,0.765625,0.659103,raider_walk3_ne,53,1,
2700,55,2924,3076,100,1,0.747011,raider_walk4_ne,54,1,
2715,55,2924,3076,100,0.875,0.747011,raider_walk4_ne,54,1,
2730,55,2924,3076,100,0.765625,0.747011,raider_walk4_ne,54,1,
2745,55,2924,3076,100,0.669922,0.747011,raider_walk4_ne,54,1,
2760,56,2928,3072,100,1,0.805616,raider_walk4_ne,55,1,
2775,56,2928,3072,100,0.875,0.805616,raider_walk4_ne,55,1,
2790,56,2928,3072,100,0.765625,0.805616,raider_walk4_ne,55,1,
2805,57,2929,3072,100,1,0.815976,raider_se,56,1,
2820,57,2929,3072,100,0.875,0.815976,raider_se,56,1,
2835,57,2929,3072,100,0.765625,0.815976,raider_se,56,1,
2850,58,2929,3072,89,0.669922,0.815976,raider_attack_ne,56,1,native-pursuit-ne-contact.png
2865,58,2929,3072,89,0.586182,0.815976,raider_attack_ne,56,1,
2880,58,2929,3072,89,0.512909,0.815976,raider_attack_ne,56,1,
2895,58,2929,3072,89,0.448795,0.815976,raider_attack_ne,56,1,
2910,59,2929,3072,89,0.392696,0.815976,raider_attack_ne,56,1,
2925,59,2929,3072,89,0.343609,0.815976,raider_attack_ne,56,1,
2940,59,2929,3072,89,0.300658,0.815976,raider_attack_ne,56,1,
2955,60,2929,3072,89,0.263076,0.815976,raider_walk4_ne,56,1,
2970,60,2929,3072,89,0.230191,0.815976,raider_walk4_ne,56,1,
2985,60,2929,3072,89,0.201417,0.815976,raider_walk4_ne,56,1,
3000,61,2929,3072,89,0.17624,0.815976,raider_ne,56,1,
3015,61,2929,3072,89,0.15421,0.815976,raider_ne,56,1,
3030,61,2929,3072,89,0.134934,0.815976,raider_ne,56,1,
3045,61,2929,3072,89,0.118067,0.815976,raider_ne,56,1,
3060,62,2929,3072,89,0.103309,0.815976,raider_ne,56,1,
3075,62,2929,3072,89,0.0903951,0.815976,raider_ne,56,1,
3090,62,2929,3072,89,0.0790957,0.815976,raider_ne,56,1,
3105,63,2929,3072,78,0.0692088,0.815976,raider_attack_ne,56,1,
3120,63,2929,3072,78,0.0605577,0.815976,raider_attack_ne,56,1,
3135,63,2929,3072,78,0.052988,0.815976,raider_attack_ne,56,1,
3150,64,2929,3072,78,0.0463645,0.815976,raider_attack_ne,56,1,
3165,64,2929,3072,78,0.0405689,0.815976,raider_attack_ne,56,1,
3180,64,2929,3072,78,0.0354978,0.815976,raider_attack_ne,56,1,
3195,64,2929,3072,78,0.0310606,0.815976,raider_attack_ne,56,1,
3210,65,2929,3072,78,0.027178,0.815976,raider_ne,56,1,
3225,65,2929,3072,78,0.0237807,0.815976,raider_ne,56,1,
3240,65,2929,3072,78,0.0208082,0.815976,raider_ne,56,1,
3255,66,2929,3072,78,0.0182071,0.815976,raider_ne,56,1,
3270,66,2929,3072,78,0.0159312,0.815976,raider_ne,56,1,
3285,66,2929,3072,78,0.0139398,0.815976,raider_ne,56,1,
3300,67,2929,3072,78,0.0121974,0.815976,raider_ne,56,1,
3315,67,2929,3072,78,0.0106727,0.815976,raider_ne,56,1,
3330,67,2929,3072,78,0.0093386,0.815976,raider_ne,56,1,
3345,67,2929,3072,78,0.00817128,0.815976,raider_ne,56,1,
3360,68,2929,3072,67,0.00714987,0.815976,raider_attack_ne,56,1,
3375,68,2929,3072,67,0.00625613,0.815976,raider_attack_ne,56,1,
3390,68,2929,3072,67,0.00547412,0.815976,raider_attack_ne,56,1,
3405,69,2929,3072,67,0.00478985,0.815976,raider_attack_ne,56,1,
3420,69,2929,3072,67,0.00419112,0.815976,raider_attack_ne,56,1,
3435,69,2929,3072,67,0.00366723,0.815976,raider_attack_ne,56,1,
3450,70,2929,3072,67,0.00320883,0.815976,raider_ne,56,1,
