time_ms,core_tick,x,y,player_life,moving,phase,pose,pursuit_events,segments_clear,capture
1170,24,2738,2738,100,0.875,0.0218749,raider_walk0_se,23,1,
1185,24,2738,2738,100,0.765625,0.0218749,raider_walk0_se,23,1,
1200,25,2744,2744,100,1,0.109782,raider_walk0_se,24,1,
1215,25,2744,2744,100,0.875,0.109782,raider_walk0_se,24,1,
1230,25,2744,2744,100,0.765625,0.109782,raider_walk0_se,24,1,
1245,25,2744,2744,100,0.669922,0.109782,raider_walk0_se,24,1,
1260,26,2750,2750,100,1,0.19769,raider_walk0_se,25,1,
1275,26,2750,2750,100,0.875,0.19769,raider_walk0_se,25,1,
1290,26,2750,2750,100,0.765625,0.19769,raider_walk0_se,25,1,
1305,27,2756,2756,100,1,0.285598,raider_walk1_se,26,1,
1320,27,2756,2756,100,0.875,0.285598,raider_walk1_se,26,1,
1335,27,2756,2756,100,0.765625,0.285598,raider_walk1_se,26,1,
1350,28,2762,2762,100,1,0.373505,raider_walk1_se,27,1,
1365,28,2762,2762,100,0.875,0.373505,raider_walk1_se,27,1,
1380,28,2762,2762,100,0.765625,0.373505,raider_walk1_se,27,1,
1395,28,2762,2762,100,0.669922,0.373505,raider_walk1_se,27,1,
1410,29,2768,2768,100,1,0.461413,raider_walk1_se,28,1,
1425,29,2768,2768,100,0.875,0.461413,raider_walk1_se,28,1,
1440,29,2768,2768,100,0.765625,0.461413,raider_walk1_se,28,1,
1455,30,2774,2774,100,1,0.54932,raider_walk2_se,29,1,
1470,30,2774,2774,100,0.875,0.54932,raider_walk2_se,29,1,
1485,30,2774,2774,100,0.765625,0.54932,raider_walk2_se,29,1,
1500,31,2780,2780,100,1,0.637228,raider_walk2_se,30,1,
1515,31,2780,2780,100,0.875,0.637228,raider_walk2_se,30,1,
1530,31,2780,2780,100,0.765625,0.637228,raider_walk2_se,30,1,
1545,31,2780,2780,100,0.669922,0.637228,raider_walk2_se,30,1,
1560,32,2786,2786,100,1,0.725136,raider_walk2_se,31,1,
1575,32,2786,2786,100,0.875,0.725136,raider_walk2_se,31,1,
