time_ms,x,y,moving,phase,pose,captured_frame
1560,-155,-755,0.335665,0.270946,hero_walk2_nw,25
1575,-155,-755,0.293707,0.270946,hero_walk2_nw,-1
1590,-155,-755,0.256993,0.270946,hero_walk2_nw,-1
1605,-160,-760,0.349869,0.344203,hero_walk2_nw,-1
1620,-160,-760,0.306135,0.344203,hero_walk2_nw,26
1635,-160,-760,0.267869,0.344203,hero_walk2_nw,-1
1650,-165,-765,0.359385,0.417459,hero_walk3_nw,-1
1665,-165,-765,0.314462,0.417459,hero_walk3_nw,-1
1680,-165,-765,0.275154,0.417459,hero_walk3_nw,27
1695,-165,-765,0.24076,0.417459,hero_walk3_nw,-1
1710,-170,-770,0.335665,0.490715,hero_walk3_nw,-1
1725,-170,-770,0.293707,0.490715,hero_walk3_nw,-1
1740,-170,-770,0.256993,0.490715,hero_walk3_nw,28
1755,-175,-775,0.349869,0.563972,hero_walk4_nw,-1
1770,-175,-775,0.306136,0.563972,hero_walk4_nw,-1
1785,-175,-775,0.267869,0.563972,hero_walk4_nw,-1
1800,-180,-780,0.359385,0.637228,hero_walk5_nw,29
1815,-180,-780,0.314462,0.637228,hero_walk5_nw,-1
1830,-180,-780,0.275154,0.637228,hero_walk5_nw,-1
1845,-180,-780,0.24076,0.637228,hero_walk5_nw,-1
1860,-180,-780,0.210665,0.637228,hero_walk5_nw,30
1875,-180,-780,0.184332,0.637228,hero_nw,-1
1890,-180,-780,0.16129,0.637228,hero_nw,-1
1905,-180,-780,0.141129,0.637228,hero_nw,-1
1920,-180,-780,0.123488,0.637228,hero_nw,31
1935,-180,-780,0.108052,0.637228,hero_nw,-1
1950,-180,-780,0.0945454,0.637228,hero_nw,-1
1965,-180,-780,0.0827273,0.637228,hero_nw,-1
1980,-180,-780,0.0723863,0.637228,hero_nw,32
1995,-180,-780,0.0633381,0.637228,hero_nw,-1
2010,-180,-780,0.0554208,0.637228,hero_nw,-1
2025,-180,-780,0.0484932,0.637228,hero_nw,-1
2040,-180,-780,0.0424315,0.637228,hero_nw,33
2055,-180,-780,0.0371276,0.637228,hero_nw,-1
2070,-180,-780,0.0324867,0.637228,hero_nw,-1
2085,-180,-780,0.0284258,0.637228,hero_nw,-1
2100,-180,-780,0.0248726,0.637228,hero_nw,34
2115,-180,-780,0.0217635,0.637228,hero_nw,-1
2130,-180,-780,0.0190431,0.637228,hero_nw,-1
2145,-180,-780,0.0166627,0.637228,hero_nw,-1
2160,-180,-780,0.0145799,0.637228,hero_nw,35
2175,-180,-780,0.0127574,0.637228,hero_nw,-1
2190,-180,-780,0.0111627,0.637228,hero_nw,-1
2205,-180,-780,0.00976737,0.637228,hero_nw,-1
2220,-180,-780,0.00854644,0.637228,hero_nw,36
2235,-180,-780,0.00747814,0.637228,hero_nw,-1
2250,-180,-780,0.00654337,0.637228,hero_nw,-1
2265,-180,-780,0.00572545,0.637228,hero_nw,-1
2280,-180,-780,0.00500977,0.637228,hero_nw,37
2295,-180,-780,0.00438355,0.637228,hero_nw,-1
2310,-180,-780,0.0038356,0.637228,hero_nw,-1
2325,-180,-780,0.00335615,0.637228,hero_nw,-1
2340,-180,-780,0.00293663,0.637228,hero_nw,38
2355,-180,-780,0.00256956,0.637228,hero_nw,-1
2370,-180,-780,0.00224836,0.637228,hero_nw,-1
2385,-180,-780,0.00196732,0.637228,hero_nw,-1
2400,-180,-780,0.0017214,0.637228,hero_nw,39
