time_ms,x,y,moving,phase,pose,captured_frame
15,0,-600,0,0,hero_sw,-1
30,0,-600,0,0,hero_sw,-1
45,0,-600,0,0,hero_sw,-1
60,-5,-595,0.125,0.0732563,hero_sw,0
75,-5,-595,0.109375,0.0732563,hero_sw,-1
90,-5,-595,0.0957031,0.0732563,hero_sw,-1
105,-10,-590,0.20874,0.146513,hero_walk1_sw,-1
120,-10,-590,0.182648,0.146513,hero_sw,1
135,-10,-590,0.159817,0.146513,hero_sw,-1
150,-15,-585,0.26484,0.219769,hero_walk1_sw,-1
165,-15,-585,0.231735,0.219769,hero_walk1_sw,-1
180,-15,-585,0.202768,0.219769,hero_walk1_sw,2
195,-15,-585,0.177422,0.219769,hero_sw,-1
210,-20,-580,0.280244,0.293025,hero_walk2_sw,-1
225,-20,-580,0.245214,0.293025,hero_walk2_sw,-1
240,-20,-580,0.214562,0.293025,hero_walk2_sw,3
255,-25,-575,0.312742,0.366282,hero_walk2_sw,-1
270,-25,-575,0.273649,0.366282,hero_walk2_sw,-1
285,-25,-575,0.239443,0.366282,hero_walk2_sw,-1
300,-30,-570,0.334512,0.439538,hero_walk3_sw,4
315,-30,-570,0.292698,0.439538,hero_walk3_sw,-1
330,-30,-570,0.256111,0.439538,hero_walk3_sw,-1
345,-30,-570,0.224097,0.439538,hero_walk3_sw,-1
360,-35,-565,0.321085,0.512794,hero_walk4_sw,5
375,-35,-565,0.280949,0.512794,hero_walk4_sw,-1
390,-35,-565,0.245831,0.512794,hero_walk4_sw,-1
405,-40,-560,0.340102,0.586051,hero_walk4_sw,-1
420,-40,-560,0.297589,0.586051,hero_walk4_sw,6
435,-40,-560,0.260391,0.586051,hero_walk4_sw,-1
450,-45,-555,0.352842,0.659307,hero_walk5_sw,-1
465,-45,-555,0.308737,0.659307,hero_walk5_sw,-1
480,-45,-555,0.270144,0.659307,hero_walk5_sw,7
495,-45,-555,0.236376,0.659307,hero_walk5_sw,-1
510,-50,-550,0.331829,0.732563,hero_walk5_sw,-1
525,-50,-550,0.290351,0.732563,hero_walk5_sw,-1
540,-50,-550,0.254057,0.732563,hero_walk5_sw,8
555,-55,-545,0.3473,0.80582,hero_walk6_sw,-1
570,-55,-545,0.303887,0.80582,hero_walk6_sw,-1
585,-55,-545,0.265901,0.80582,hero_walk6_sw,-1
600,-60,-540,0.357664,0.879076,hero_walk7_sw,9
615,-60,-540,0.312956,0.879076,hero_walk7_sw,-1
630,-60,-540,0.273836,0.879076,hero_walk7_sw,-1
645,-60,-540,0.239607,0.879076,hero_walk7_sw,-1
660,-65,-535,0.334656,0.952332,hero_walk7_sw,10
675,-65,-535,0.292824,0.952332,hero_walk7_sw,-1
690,-65,-535,0.256221,0.952332,hero_walk7_sw,-1
705,-70,-530,0.349193,0.0255887,hero_walk0_sw,-1
720,-70,-530,0.305544,0.0255887,hero_walk0_sw,11
735,-70,-530,0.267351,0.0255887,hero_walk0_sw,-1
750,-75,-525,0.358932,0.098845,hero_walk0_sw,-1
765,-75,-525,0.314066,0.098845,hero_walk0_sw,-1
780,-75,-525,0.274807,0.098845,hero_walk0_sw,12
795,-75,-525,0.240457,0.098845,hero_walk0_sw,-1
810,-80,-520,0.335399,0.172101,hero_walk1_sw,-1
825,-80,-520,0.293475,0.172101,hero_walk1_sw,-1
840,-80,-520,0.25679,0.172101,hero_walk1_sw,13
855,-85,-515,0.349691,0.245358,hero_walk1_sw,-1
870,-85,-515,0.30598,0.245358,hero_walk1_sw,-1
885,-85,-515,0.267733,0.245358,hero_walk1_sw,-1
900,-90,-510,0.359266,0.318614,hero_walk2_sw,14
915,-90,-510,0.314358,0.318614,hero_walk2_sw,-1
930,-90,-510,0.275063,0.318614,hero_walk2_sw,-1
945,-90,-510,0.24068,0.318614,hero_walk2_sw,-1
960,-95,-505,0.335595,0.39187,hero_walk3_sw,15
975,-95,-505,0.293646,0.39187,hero_walk3_sw,-1
990,-95,-505,0.25694,0.39187,hero_walk3_sw,-1
1005,-100,-500,0.349823,0.465127,hero_walk3_sw,-1
1020,-100,-500,0.306095,0.465127,hero_walk3_sw,16
1035,-100,-500,0.267833,0.465127,hero_walk3_sw,-1
1050,-105,-495,0.359354,0.538383,hero_walk4_sw,-1
1065,-105,-495,0.314435,0.538383,hero_walk4_sw,-1
1080,-105,-495,0.27513,0.538383,hero_walk4_sw,17
1095,-105,-495,0.240739,0.538383,hero_walk4_sw,-1
1110,-110,-490,0.335647,0.611639,hero_walk4_sw,-1
1125,-110,-490,0.293691,0.611639,hero_walk4_sw,-1
1140,-110,-490,0.256979,0.611639,hero_walk4_sw,18
1155,-115,-485,0.349857,0.684896,hero_walk5_sw,-1
1170,-115,-485,0.306125,0.684896,hero_walk5_sw,-1
1185,-115,-485,0.267859,0.684896,hero_walk5_sw,-1
1200,-120,-480,0.359377,0.758152,hero_walk6_sw,19
1215,-120,-480,0.314455,0.758152,hero_walk6_sw,-1
1230,-120,-480,0.275148,0.758152,hero_walk6_sw,-1
1245,-120,-480,0.240754,0.758152,hero_walk6_sw,-1
1260,-125,-475,0.33566,0.831408,hero_walk6_sw,20
1275,-125,-475,0.293703,0.831408,hero_walk6_sw,-1
1290,-125,-475,0.25699,0.831408,hero_walk6_sw,-1
1305,-130,-470,0.349866,0.904665,hero_walk7_sw,-1
1320,-130,-470,0.306133,0.904665,hero_walk7_sw,21
1335,-130,-470,0.267866,0.904665,hero_walk7_sw,-1
1350,-135,-465,0.359383,0.977921,hero_walk7_sw,-1
1365,-135,-465,0.31446,0.977921,hero_walk7_sw,-1
1380,-135,-465,0.275153,0.977921,hero_walk7_sw,22
1395,-135,-465,0.240758,0.977921,hero_walk7_sw,-1
1410,-140,-460,0.335664,0.0511774,hero_walk0_sw,-1
1425,-140,-460,0.293706,0.0511774,hero_walk0_sw,-1
1440,-140,-460,0.256992,0.0511774,hero_walk0_sw,23
1455,-145,-455,0.349868,0.124434,hero_walk0_sw,-1
1470,-145,-455,0.306135,0.124434,hero_walk0_sw,-1
1485,-145,-455,0.267868,0.124434,hero_walk0_sw,-1
1500,-150,-450,0.359385,0.19769,hero_walk1_sw,24
1515,-150,-450,0.314461,0.19769,hero_walk1_sw,-1
1530,-150,-450,0.275154,0.19769,hero_walk1_sw,-1
1545,-150,-450,0.24076,0.19769,hero_walk1_sw,-1
1560,-155,-445,0.335665,0.270946,hero_walk2_sw,25
1575,-155,-445,0.293707,0.270946,hero_walk2_sw,-1
1590,-155,-445,0.256993,0.270946,hero_walk2_sw,-1
1605,-160,-440,0.349869,0.344203,hero_walk2_sw,-1
1620,-160,-440,0.306135,0.344203,hero_walk2_sw,26
1635,-160,-440,0.267869,0.344203,hero_walk2_sw,-1
1650,-165,-435,0.359385,0.417459,hero_walk3_sw,-1
1665,-165,-435,0.314462,0.417459,hero_walk3_sw,-1
1680,-165,-435,0.275154,0.417459,hero_walk3_sw,27
1695,-165,-435,0.24076,0.417459,hero_walk3_sw,-1
1710,-170,-430,0.335665,0.490715,hero_walk3_sw,-1
1725,-170,-430,0.293707,0.490715,hero_walk3_sw,-1
1740,-170,-430,0.256993,0.490715,hero_walk3_sw,28
1755,-175,-425,0.349869,0.563972,hero_walk4_sw,-1
1770,-175,-425,0.306136,0.563972,hero_walk4_sw,-1
1785,-175,-425,0.267869,0.563972,hero_walk4_sw,-1
1800,-180,-420,0.359385,0.637228,hero_walk5_sw,29
1815,-180,-420,0.314462,0.637228,hero_walk5_sw,-1
1830,-180,-420,0.275154,0.637228,hero_walk5_sw,-1
1845,-180,-420,0.24076,0.637228,hero_walk5_sw,-1
1860,-180,-420,0.210665,0.637228,hero_walk5_sw,30
1875,-180,-420,0.184332,0.637228,hero_sw,-1
1890,-180,-420,0.16129,0.637228,hero_sw,-1
1905,-180,-420,0.141129,0.637228,hero_sw,-1
1920,-180,-420,0.123488,0.637228,hero_sw,31
1935,-180,-420,0.108052,0.637228,hero_sw,-1
1950,-180,-420,0.0945454,0.637228,hero_sw,-1
1965,-180,-420,0.0827273,0.637228,hero_sw,-1
1980,-180,-420,0.0723863,0.637228,hero_sw,32
1995,-180,-420,0.0633381,0.637228,hero_sw,-1
2010,-180,-420,0.0554208,0.637228,hero_sw,-1
2025,-180,-420,0.0484932,0.637228,hero_sw,-1
2040,-180,-420,0.0424315,0.637228,hero_sw,33
2055,-180,-420,0.0371276,0.637228,hero_sw,-1
2070,-180,-420,0.0324867,0.637228,hero_sw,-1
2085,-180,-420,0.0284258,0.637228,hero_sw,-1
2100,-180,-420,0.0248726,0.637228,hero_sw,34
2115,-180,-420,0.0217635,0.637228,hero_sw,-1
2130,-180,-420,0.0190431,0.637228,hero_sw,-1
2145,-180,-420,0.0166627,0.637228,hero_sw,-1
2160,-180,-420,0.0145799,0.637228,hero_sw,35
2175,-180,-420,0.0127574,0.637228,hero_sw,-1
2190,-180,-420,0.0111627,0.637228,hero_sw,-1
2205,-180,-420,0.00976737,0.637228,hero_sw,-1
2220,-180,-420,0.00854644,0.637228,hero_sw,36
2235,-180,-420,0.00747814,0.637228,hero_sw,-1
2250,-180,-420,0.00654337,0.637228,hero_sw,-1
2265,-180,-420,0.00572545,0.637228,hero_sw,-1
2280,-180,-420,0.00500977,0.637228,hero_sw,37
2295,-180,-420,0.00438355,0.637228,hero_sw,-1
2310,-180,-420,0.0038356,0.637228,hero_sw,-1
2325,-180,-420,0.00335615,0.637228,hero_sw,-1
2340,-180,-420,0.00293663,0.637228,hero_sw,38
2355,-180,-420,0.00256956,0.637228,hero_sw,-1
2370,-180,-420,0.00224836,0.637228,hero_sw,-1
2385,-180,-420,0.00196732,0.637228,hero_sw,-1
2400,-180,-420,0.0017214,0.637228,hero_sw,39
