run	exit	elapsed_s	fail_signature	log
1	0	75	0	Z:\Code\Games\delaford\kimiwork_verdigris\.worktrees\gateb-flake\orchestration\vg\GATEB-FLAKE\evidence\base-load8-run1.log
2	0	73	0	Z:\Code\Games\delaford\kimiwork_verdigris\.worktrees\gateb-flake\orchestration\vg\GATEB-FLAKE\evidence\base-load8-run2.log
